ano;tipo_uva;cultivar;quantidade
2000;Outros;Italia;0
2000;Outros;Rubi (Itália, Itália Ro);0
2001;Tintas;TINTAS;23660
2001;Outros;Alphonse Lavallee;3613
2001;Outros;Moscato de Hamburgo;20047
2001;Brancas;BRANCAS;118013
2001;Outros;Cardinal;0
2001;Outros;Golden Queen;0
2001;Outros;Patrícia;23661
2001;Outros;Perlona;94352
2001;Outros;Italia;0
2001;Outros;Rubi (Itália, Itália Ro);0
2002;Tintas;TINTAS;23239
2002;Outros;Alphonse Lavallee;0
2002;Outros;Moscato de Hamburgo;23239
2002;Brancas;BRANCAS;100923
2002;Outros;Cardinal;0
2002;Outros;Golden Queen;0
2002;Outros;Patrícia;42357
2002;Outros;Perlona;58566
2002;Outros;Italia;0
2002;Outros;Rubi (Itália, Itália Ro);0
2003;Tintas;TINTAS;7366
2003;Outros;Alphonse Lavallee;0
2003;Outros;Moscato de Hamburgo;7366
2003;Brancas;BRANCAS;136658
2003;Outros;Cardinal;0
2003;Outros;Golden Queen;0
2003;Outros;Patrícia;75480
2003;Outros;Perlona;61178
2003;Outros;Italia;0
2003;Outros;Rubi (Itália, Itália Ro);0
2004;Tintas;TINTAS;49698
2004;Outros;Alphonse Lavallee;0
2004;Outros;Moscato de Hamburgo;49698
2004;Brancas;BRANCAS;73187
2004;Outros;Cardinal;0
2004;Outros;Golden Queen;0
2004;Outros;Patrícia;6172
2004;Outros;Perlona;33155
2004;Outros;Italia;33860
2004;Outros;Rubi (Itália, Itália Ro);0
2005;Tintas;TINTAS;49820
2005;Outros;Alphonse Lavallee;1500
2005;Outros;Moscato de Hamburgo;48320
2005;Brancas;BRANCAS;39470
2005;Outros;Cardinal;1620
2005;Outros;Golden Queen;0
2005;Outros;Patrícia;0
2005;Outros;Perlona;32105
2005;Outros;Italia;1630
2005;Outros;Rubi (Itália, Itália Ro);4115
2006;Tintas;TINTAS;36105
2006;Outros;Alphonse Lavallee;0
2006;Outros;Moscato de Hamburgo;36105
2006;Brancas;BRANCAS;17889
2006;Outros;Cardinal;0
2006;Outros;Golden Queen;0
2006;Outros;Patrícia;0
2006;Outros;Perlona;14569
2006;Outros;Italia;3320
2006;Outros;Rubi (Itália, Itália Ro);0
2007;Tintas;TINTAS;66970
2007;Outros;Alphonse Lavallee;0
2007;Outros;Moscato de Hamburgo;66970
2007;Brancas;BRANCAS;36619
2007;Outros;Cardinal;0
2007;Outros;Golden Queen;0
2007;Outros;Patrícia;0
2007;Outros;Perlona;25899
2007;Outros;Italia;5130
2007;Outros;Rubi (Itália, Itália Ro);5590
2008;Tintas;TINTAS;101101
2008;Outros;Alphonse Lavallee;0
2008;Outros;Moscato de Hamburgo;101101
2008;Brancas;BRANCAS;55297
2008;Outros;Cardinal;4610
2008;Outros;Golden Queen;0
2008;Outros;Patrícia;0
2008;Outros;Perlona;37376
2008;Outros;Italia;2300
2008;Outros;Rubi (Itália, Itália Ro);11011
2009;Tintas;TINTAS;84397
2009;Outros;Alphonse Lavallee;0
2009;Outros;Moscato de Hamburgo;84397
2009;Brancas;BRANCAS;14440
2009;Outros;Cardinal;0
2009;Outros;Golden Queen;0
2009;Outros;Patrícia;0
2009;Outros;Perlona;11335
2009;Outros;Italia;0
2009;Outros;Rubi (Itália, Itália Ro);3105
2010;Tintas;TINTAS;31771
2010;Outros;Alphonse Lavallee;0
2010;Outros;Moscato de Hamburgo;31771
2010;Brancas;BRANCAS;11575
2010;Outros;Cardinal;0
2010;Outros;Golden Queen;0
2010;Outros;Patrícia;0
2010;Outros;Perlona;10375
2010;Outros;Italia;0
2010;Outros;Rubi (Itália, Itália Ro);1200
2011;Tintas;TINTAS;89305
2011;Outros;Alphonse Lavallee;0
2011;Outros;Moscato de Hamburgo;89305
2011;Brancas;BRANCAS;19458
2011;Outros;Cardinal;0
2011;Outros;Golden Queen;0
2011;Outros;Patrícia;0
2011;Outros;Perlona;5575
2011;Outros;Italia;0
2011;Outros;Rubi (Itália, Itália Ro);13883
2012;Tintas;TINTAS;145132
2012;Outros;Alphonse Lavallee;0
2012;Outros;Moscato de Hamburgo;145132
2012;Brancas;BRANCAS;62564
2012;Outros;Cardinal;0
2012;Outros;Golden Queen;0
2012;Outros;Patrícia;0
2012;Outros;Perlona;9695
2012;Outros;Italia;0
2012;Outros;Rubi (Itália, Itália Ro);52869
2013;Tintas;TINTAS;75362
2013;Outros;Alphonse Lavallee;0
2013;Outros;Moscato de Hamburgo;75362
